nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6,timestamp_epoch_ms,classification
0.0,0.0,0.0,0.0,0.0,509.0,513.0,0.0,619.0,39.0,2.0,1762176127976.0,neutral
1.0,0.0,0.0,0.0,0.0,512.0,512.0,0.0,609.0,39.0,2.0,1762176127977.0,neutral
2.0,0.0,0.0,0.0,0.0,508.0,513.0,0.0,596.0,39.0,2.0,1762176127978.0,neutral
3.0,0.0,0.0,0.0,0.0,507.0,512.0,0.0,588.0,39.0,2.0,1762176127979.0,neutral
4.0,0.0,0.0,0.0,0.0,505.0,512.0,1.0,584.0,39.0,2.0,1762176127980.0,neutral
5.0,0.0,0.0,0.0,0.0,507.0,513.0,0.0,582.0,39.0,2.0,1762176127981.0,neutral
6.0,0.0,0.0,0.0,0.0,516.0,514.0,0.0,587.0,39.0,2.0,1762176127982.0,neutral
7.0,0.0,0.0,0.0,0.0,513.0,515.0,0.0,593.0,39.0,2.0,1762176127983.0,neutral
8.0,0.0,0.0,0.0,0.0,515.0,514.0,0.0,589.0,39.0,2.0,1762176127984.0,neutral
9.0,0.0,0.0,0.0,0.0,515.0,512.0,0.0,574.0,39.0,2.0,1762176127985.0,neutral
10.0,0.0,0.0,0.0,0.0,512.0,515.0,0.0,555.0,39.0,2.0,1762176127986.0,neutral
11.0,0.0,0.0,0.0,0.0,503.0,514.0,0.0,530.0,39.0,2.0,1762176127987.0,neutral
12.0,0.0,0.0,0.0,0.0,513.0,513.0,0.0,509.0,39.0,2.0,1762176127988.0,neutral
13.0,0.0,0.0,0.0,0.0,509.0,511.0,0.0,513.0,39.0,2.0,1762176127989.0,neutral
14.0,0.0,0.0,0.0,0.0,505.0,511.0,0.0,511.0,39.0,2.0,1762176127990.0,neutral
15.0,0.0,0.0,0.0,0.0,510.0,512.0,0.0,519.0,39.0,2.0,1762176127991.0,neutral
0.0,0.0,0.0,0.0,0.0,507.0,512.0,1.0,527.0,38.0,2.0,1762176127992.0,neutral
1.0,0.0,0.0,0.0,0.0,511.0,511.0,0.0,537.0,39.0,2.0,1762176127993.0,neutral
2.0,0.0,0.0,0.0,0.0,501.0,510.0,0.0,546.0,39.0,2.0,1762176127994.0,neutral
3.0,0.0,0.0,0.0,0.0,513.0,511.0,0.0,546.0,39.0,2.0,1762176127995.0,neutral
4.0,0.0,0.0,0.0,0.0,511.0,510.0,1.0,539.0,38.0,2.0,1762176127996.0,neutral
5.0,0.0,0.0,0.0,0.0,516.0,510.0,0.0,539.0,39.0,2.0,1762176127997.0,neutral
6.0,0.0,0.0,0.0,0.0,512.0,511.0,0.0,536.0,39.0,2.0,1762176127998.0,neutral
7.0,0.0,0.0,0.0,0.0,512.0,512.0,0.0,533.0,39.0,2.0,1762176127999.0,neutral
8.0,0.0,0.0,0.0,0.0,512.0,514.0,1.0,520.0,39.0,2.0,1762176128000.0,neutral
9.0,0.0,0.0,0.0,0.0,516.0,513.0,0.0,503.0,39.0,2.0,1762176128001.0,neutral
10.0,0.0,0.0,0.0,0.0,510.0,513.0,0.0,486.0,39.0,2.0,1762176128002.0,neutral
11.0,0.0,0.0,0.0,0.0,515.0,514.0,0.0,471.0,39.0,2.0,1762176128003.0,neutral
12.0,0.0,0.0,0.0,0.0,516.0,514.0,1.0,456.0,38.0,2.0,1762176128004.0,neutral
13.0,0.0,0.0,0.0,0.0,504.0,514.0,0.0,450.0,39.0,2.0,1762176128005.0,neutral
14.0,0.0,0.0,0.0,0.0,511.0,514.0,0.0,451.0,39.0,2.0,1762176128006.0,neutral
15.0,0.0,0.0,0.0,0.0,507.0,513.0,0.0,467.0,39.0,2.0,1762176128007.0,neutral
0.0,0.0,0.0,0.0,0.0,510.0,513.0,0.0,470.0,39.0,2.0,1762176128008.0,neutral
1.0,0.0,0.0,0.0,0.0,506.0,513.0,0.0,479.0,39.0,2.0,1762176128009.0,neutral
2.0,0.0,0.0,0.0,0.0,511.0,513.0,0.0,488.0,39.0,2.0,1762176128010.0,neutral
3.0,0.0,0.0,0.0,0.0,511.0,513.0,0.0,502.0,39.0,2.0,1762176128011.0,neutral
4.0,0.0,0.0,0.0,0.0,508.0,514.0,1.0,522.0,39.0,2.0,1762176128012.0,neutral
5.0,0.0,0.0,0.0,0.0,507.0,512.0,0.0,535.0,39.0,2.0,1762176128013.0,neutral
6.0,0.0,0.0,0.0,0.0,507.0,510.0,0.0,537.0,39.0,2.0,1762176128014.0,neutral
7.0,0.0,0.0,0.0,0.0,508.0,510.0,0.0,532.0,39.0,2.0,1762176128015.0,neutral
8.0,0.0,0.0,0.0,0.0,508.0,508.0,1.0,519.0,39.0,2.0,1762176128016.0,neutral
9.0,0.0,0.0,0.0,0.0,506.0,510.0,0.0,509.0,39.0,2.0,1762176128017.0,neutral
10.0,0.0,0.0,0.0,0.0,518.0,511.0,0.0,501.0,39.0,2.0,1762176128018.0,neutral
11.0,0.0,0.0,0.0,0.0,516.0,512.0,0.0,491.0,39.0,2.0,1762176128019.0,neutral
12.0,0.0,0.0,0.0,0.0,510.0,511.0,0.0,473.0,38.0,2.0,1762176128020.0,neutral
13.0,0.0,0.0,0.0,0.0,512.0,512.0,0.0,461.0,39.0,2.0,1762176128021.0,neutral
14.0,0.0,0.0,0.0,0.0,515.0,511.0,0.0,457.0,38.0,2.0,1762176128022.0,neutral
15.0,0.0,0.0,0.0,0.0,511.0,511.0,0.0,465.0,38.0,2.0,1762176128023.0,neutral
0.0,0.0,0.0,0.0,0.0,514.0,512.0,1.0,480.0,38.0,2.0,1762176128024.0,neutral
1.0,0.0,0.0,0.0,0.0,509.0,512.0,0.0,489.0,39.0,2.0,1762176128025.0,neutral
2.0,0.0,0.0,0.0,0.0,511.0,512.0,0.0,499.0,39.0,2.0,1762176128026.0,neutral
3.0,0.0,0.0,0.0,0.0,508.0,513.0,0.0,512.0,39.0,2.0,1762176128027.0,neutral
4.0,0.0,0.0,0.0,0.0,518.0,512.0,0.0,526.0,39.0,2.0,1762176128028.0,neutral
5.0,0.0,0.0,0.0,0.0,504.0,512.0,0.0,525.0,39.0,2.0,1762176128029.0,neutral
6.0,0.0,0.0,0.0,0.0,507.0,512.0,0.0,512.0,39.0,2.0,1762176128030.0,neutral
7.0,0.0,0.0,0.0,0.0,511.0,513.0,0.0,501.0,39.0,2.0,1762176128031.0,neutral
8.0,0.0,0.0,0.0,0.0,503.0,512.0,1.0,501.0,39.0,2.0,1762176128032.0,neutral
9.0,0.0,0.0,0.0,0.0,509.0,513.0,0.0,507.0,39.0,2.0,1762176128033.0,neutral
10.0,0.0,0.0,0.0,0.0,511.0,514.0,0.0,513.0,39.0,2.0,1762176128034.0,neutral
11.0,0.0,0.0,0.0,0.0,516.0,513.0,0.0,527.0,39.0,2.0,1762176128035.0,neutral
12.0,0.0,0.0,0.0,0.0,517.0,515.0,1.0,537.0,39.0,2.0,1762176128036.0,neutral
13.0,0.0,0.0,0.0,0.0,512.0,514.0,0.0,541.0,39.0,2.0,1762176128037.0,neutral
14.0,0.0,0.0,0.0,0.0,513.0,513.0,0.0,547.0,39.0,2.0,1762176128038.0,neutral
15.0,0.0,0.0,0.0,0.0,518.0,514.0,0.0,550.0,39.0,2.0,1762176128039.0,neutral
0.0,0.0,0.0,0.0,0.0,512.0,514.0,1.0,543.0,39.0,2.0,1762176128040.0,neutral
1.0,0.0,0.0,0.0,0.0,507.0,513.0,0.0,536.0,39.0,2.0,1762176128041.0,neutral
2.0,0.0,0.0,0.0,0.0,509.0,513.0,0.0,532.0,39.0,2.0,1762176128042.0,neutral
3.0,0.0,0.0,0.0,0.0,512.0,512.0,0.0,523.0,39.0,2.0,1762176128043.0,neutral
4.0,0.0,0.0,0.0,0.0,508.0,513.0,1.0,527.0,38.0,2.0,1762176128044.0,neutral
