num,nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6,timestamp_epoch_ms,label,keypress_sample_number,keypress_elapsed_ms,keypress_timestamp_ms
0,9089,0,0,0,0,515,511,0,572,38,4,1764792927024,blink,9088,14648.00007,1764792927024
1,9090,0,0,0,0,518,511,0,599,38,4,1764792927025,blink,9089,14649.00007,1764792927025
2,9091,0,0,0,0,535,512,0,603,38,2,1764792927026,blink,9090,14650.00007,1764792927026
3,9092,0,0,0,0,525,511,0,575,39,2,1764792927027,blink,9091,14651.00007,1764792927027
4,9093,0,0,0,0,515,513,0,524,38,4,1764792927028,blink,9092,14652.00007,1764792927028
5,9094,0,0,0,0,496,513,0,474,38,4,1764792927029,blink,9093,14653.00007,1764792927029
6,9095,0,0,0,0,492,513,0,447,38,4,1764792927030,blink,9094,14654.00007,1764792927030
7,9096,0,0,0,0,504,512,0,430,38,4,1764792927031,blink,9095,14655.00007,1764792927031
8,9097,0,0,0,0,513,511,0,415,38,4,1764792927032,blink,9096,14656.00007,1764792927032
9,9098,0,0,0,0,507,511,0,395,38,4,1764792927033,blink,9097,14657.00007,1764792927033
10,9099,0,0,0,0,505,513,0,410,38,3,1764792927034,blink,9098,14658.00007,1764792927034
11,9100,0,0,0,0,497,511,1,430,38,2,1764792927035,blink,9099,14659.00007,1764792927035
12,9101,0,0,0,0,497,513,0,452,38,3,1764792927036,blink,9100,14660.00007,1764792927036
13,9102,0,0,0,0,518,513,0,482,38,4,1764792927037,blink,9101,14661.00007,1764792927037
14,9103,0,0,0,0,519,513,0,512,38,4,1764792927038,blink,9102,14662.00007,1764792927038
15,9104,0,0,0,0,523,512,1,517,38,4,1764792927039,blink,9103,14663.00007,1764792927039
16,9105,0,0,0,0,514,515,0,517,38,4,1764792927040,blink,9104,14664.00007,1764792927040
17,9106,0,0,0,0,513,514,0,533,38,4,1764792927041,blink,9105,14665.00007,1764792927041
18,9107,0,0,0,0,519,515,0,540,38,3,1764792927042,blink,9106,14666.00007,1764792927042
19,9108,0,0,0,0,534,517,1,519,39,2,1764792927043,blink,9107,14667.00007,1764792927043
20,9109,0,0,0,0,521,516,0,490,38,2,1764792927044,blink,9108,14668.00007,1764792927044
21,9110,0,0,0,0,506,516,0,448,38,4,1764792927045,blink,9109,14669.00007,1764792927045
22,9111,0,0,0,0,494,517,0,411,38,4,1764792927046,blink,9110,14670.00007,1764792927046
23,9112,0,0,0,0,494,514,0,377,38,4,1764792927047,blink,9111,14671.00007,1764792927047
24,9113,0,0,0,0,499,513,0,356,38,4,1764792927048,blink,9112,14672.00007,1764792927048
25,9114,0,0,0,0,512,513,0,355,38,4,1764792927049,blink,9113,14673.00007,1764792927049
26,9115,0,0,0,0,508,513,0,372,38,4,1764792927050,blink,9114,14674.00007,1764792927050
27,9116,0,0,0,0,486,511,0,393,38,2,1764792927051,blink,9115,14675.00007,1764792927051
28,9117,0,0,0,0,490,510,0,420,38,2,1764792927052,blink,9116,14676.00007,1764792927052
29,9118,0,0,0,0,505,508,0,455,38,4,1764792927053,blink,9117,14677.00007,1764792927053
30,9119,0,0,0,0,518,508,0,493,38,4,1764792927054,blink,9118,14678.00007,1764792927054
31,9120,0,0,0,0,525,512,1,512,38,4,1764792927055,blink,9119,14679.00007,1764792927055
32,9121,0,0,0,0,525,510,0,512,38,4,1764792927056,blink,9120,14680.00007,1764792927056
33,9122,0,0,0,0,514,510,0,512,38,4,1764792927057,blink,9121,14681.00007,1764792927057
34,9123,0,0,0,0,507,509,0,519,38,4,1764792927058,blink,9122,14682.00007,1764792927058
35,9124,0,0,0,0,523,511,1,520,38,3,1764792927059,blink,9123,14683.00007,1764792927059
36,9125,0,0,0,0,530,511,0,515,38,2,1764792927060,blink,9124,14684.00007,1764792927060
37,9126,0,0,0,0,524,512,0,500,38,4,1764792927061,blink,9125,14685.00007,1764792927061
38,9127,0,0,0,0,501,513,0,476,38,4,1764792927062,blink,9126,14686.00007,1764792927062
39,9128,0,0,0,0,500,513,1,463,38,4,1764792927063,blink,9127,14687.00007,1764792927063
40,9129,0,0,0,0,504,512,0,469,38,4,1764792927064,blink,9128,14688.00007,1764792927064
41,9130,0,0,0,0,504,514,0,475,38,4,1764792927065,blink,9129,14689.00007,1764792927065
42,9131,0,0,0,0,503,516,0,494,38,4,1764792927066,blink,9130,14690.00007,1764792927066
43,9132,0,0,0,0,503,516,0,540,38,3,1764792927067,blink,9131,14691.00007,1764792927067
44,9133,0,0,0,0,492,516,0,590,38,2,1764792927068,blink,9132,14692.00007,1764792927068
45,9134,0,0,0,0,501,515,0,611,38,2,1764792927069,blink,9133,14693.00007,1764792927069
46,9135,0,0,0,0,517,513,0,615,38,4,1764792927070,blink,9134,14694.00007,1764792927070
47,9136,0,0,0,0,517,512,1,585,38,4,1764792927071,blink,9135,14695.00007,1764792927071
